release_id,title,artist_name,artist_id,primary_type,secondary_types,first_release_date,release_year
5d9eb506-f873-4e70-b2aa-58e5dbbd80b4,Star Guardian 2022 (Official Orchestral Theme),Riot Games Music Team,0976dbd8-e7fe-4161-9a49-58c57f7a7787,Single,Soundtrack,2022-06-21,2022
c86fde57-bcb4-44fd-b9e6-9c053966fb89,Minecraft: The Wild Update (Original Game Soundtrack),Lena Raine,f1693075-b637-49f8-8d0e-8cee8bec77cb,EP,Soundtrack,2022-04-20,2022
27774204-c00f-446d-9299-7e752ef7d125,Believe: The Music of EVO 2022,Zaid Tabani,de136b08-5752-4c07-97d6-9e2d01ed05cc,Album,"Soundtrack, Remix",2022-08-08,2022
3443ef01-6bae-40a3-ac92-9db5ddc46a98,Into the Woods: 2022 Broadway Cast Recording,Stephen Sondheim,bcd6af9f-afa8-43fd-b1be-acbbbb2f7dc7,Album,Soundtrack,2022-09-30,2022
072b71af-73ad-4e88-9206-956629e06ded,Jaanmoni 2023,Biman Boruah,a7a57b1c-f794-4f17-af55-67ce426dc92e,Album,Soundtrack,2023-04-07,2023
852e4f9b-d9eb-4e43-b657-3409b7612352,포켓몬스터 (2023),aespa,b51c672b-85e0-48fe-8648-470a2422229f,EP,Soundtrack,2023-08-23,2023
3f61cea7-8740-4e98-adea-ce04688e8236,Teslagradsangen 2023,Bear & Cat,700c33e5-463e-40a7-9e4f-8646e99ada85,Single,"Soundtrack, Remix",2023-04-22,2023
ccb28b6c-26c0-4471-bbe0-a851ec5d6bfc,Realms Deep 2023,Jon of the Shred,cb638d3f-6258-445e-9047-68457f5888fe,Album,Soundtrack,2023-10-30,2023
85b65d1f-381b-4c30-b9da-51c5ce1b6e56,2023 World Championship Theme,Riot Games Music Team,0976dbd8-e7fe-4161-9a49-58c57f7a7787,Single,Soundtrack,2023-09-27,2023
9ac12d37-c9c7-4e27-9f6b-8aebc30af589,ゴースト トリック オリジナルサウンドトラック 2023,杉森雅和,33816245-a784-404b-97fc-a92e3f4d9ebd,Album,Soundtrack,2023-06-30,2023
0a96ed83-a860-4458-91c7-d51b70498945,BespokE : GTS 2023,Gratia Productions,9adfda7b-9751-48ba-9a8f-78248268bf2e,Album,Soundtrack,2023-12-18,2023
11114f52-5234-4271-ae19-ed0e65eba44a,KONAMI Arcade Championship(2023),Various Artists,89ad4ac3-39f7-470e-963a-56509c546377,Album,Soundtrack,2023-09-28,2023
711c5fb2-9819-4b88-b088-3f0d66bedb70,Dug Days: Carl's Date (Original Soundtrack),Andrea Datzman,5053fda7-4379-481e-ac07-8dc1e769b72c,Album,Soundtrack,2023-06-16,2023
341ba96c-37a3-4621-b657-cffcdd568202,Novembeat 2023: Pawmune and Friends,Sockpuppet,5b7bea49-746f-4b55-a2d9-00c4d30f4618,EP,Soundtrack,2023-12-01,2023
c11cf91e-3c17-4d94-80cc-3300d36ae763,Minecraft Live: 2023 (Original Soundtrack),Camilo Forero,e75f22f5-8e78-45f3-9300-46f861752e98,Album,"Soundtrack, Live",2023-11-02,2023
b7f287b9-8aa6-476e-99fb-8ffbe08ee1d5,Pony Town Library Update,Wandering Artist,85255284-6eea-469c-a14d-2c571ab697da,EP,Soundtrack,2023-01-05,2023
19e93ed9-70c6-4fd9-bfba-d7a565cf60ac,SCP: Roleplay: Original Updates Soundtrack,MetatableIndex,8103edf2-8215-4514-874c-91cb8c2b5eeb,Album,Soundtrack,2023-12-18,2023
46a64b3a-2e30-404d-bdba-b679a492f5c7,IMPACT: The Music of EVO 2023,Zaid Tabani,de136b08-5752-4c07-97d6-9e2d01ed05cc,Album,Soundtrack,2023-08-07,2023
b4811eb8-7579-4da5-b2a5-718cfb9ca63b,Turkey-Syria Earthquake 2023 (Original Soundtrack),Tariq Hisny,2a8dd647-ab76-4fe0-ba81-8b7de65fa6bf,Single,Soundtrack,2023-03-03,2023
9397942c-d594-4a5a-b1ef-92e1d263cf75,Camelot: The 2023 Broadway Cast Recording,Lerner & Loewe,24702a72-7411-4270-b1b5-f86c2c1b07ca,Album,Soundtrack,2023-06-30,2023
2857a00d-319c-43f2-8e12-f13333c3d0ba,2023 Old Zone : The Collection,Satvik Savage,10aa5c10-92f4-4067-8217-8af40189f330,EP,"Soundtrack, Mixtape/Street",2023-12-31,2023
a6a4b01b-66da-436c-9adb-24ffc2144754,The Lord of the Rings Online: Update 36: Gondor Renewed Soundtrack,Bill Champagne,27b061ce-33d4-468e-8bdb-7d5f1ff310ef,Album,Soundtrack,2023-09-29,2023
aaa1612a-fa2e-4313-b07a-d56c90ab5ba8,The Lord of the Rings Online: Update 33: The Yondershire Soundtrack,Bill Champagne,27b061ce-33d4-468e-8bdb-7d5f1ff310ef,Album,Soundtrack,2023-07-13,2023
425bb489-04d7-472b-9b04-ad6875c3e33c,Vava Album for Dopatwo 2023 (Original Soundtrack),Pumodi,39dc7df2-26e1-4e38-9287-91680b960caf,Album,Soundtrack,2023-08-26,2023
b4030f66-4c1f-4d79-be2b-345d98a669fa,1984 - (Original Motion Picture Soundtrack) [2023],Diana Ringo,6a0a1b0c-3ac4-49c3-be20-c396f38d1677,Album,Soundtrack,2023-10-01,2023
4ab23388-d702-4d33-8288-4e653bbb6275,A Fox in Space Original Soundtrack 2023,Matthew Gafford,f78d55cb-bf2b-4313-8981-6afe4cf0a4d2,Album,Soundtrack,2023-03-30,2023
a43dd473-bd51-488e-8946-a8669573ddda,The Lord of the Rings Online: Update 32: Rangers and Ruins Soundtrack,Bill Champagne,27b061ce-33d4-468e-8bdb-7d5f1ff310ef,Album,Soundtrack,2023-06-29,2023
