name,id,type,country
Stewart Copeland,885ae336-ef63-465d-a0e7-bdc0a5b788e8,Person,US
stewart copeland,cfe72923-1a5b-4202-8bd5-513f46f2f11c,N/A,N/A
Stewart Copeland,7828c70a-3c22-48f8-bc66-b6edfda120f3,Person,N/A
