movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style
Batman Begins,hans zimmer and james newton howard batman begins,batman the animated series the legend begins,2005,2002,"Electronic, Jazz, Stage & Screen",,"Soundtrack, Modern Classical, Easy Listening"
Batman Begins,hans zimmer and james newton howard batman begins,batman begins,2017,2005,"Electronic, Stage & Screen",,"Soundtrack, Modern Classical, Score"
Batman Begins,hans zimmer and james newton howard batman begins,batman the animated series the legend begins,2017,2002,"Electronic, Stage & Screen",,"Soundtrack, Modern Classical, Score"
Batman Begins,hans zimmer and james newton howard batman begins music from the motion picture,batman begins,2012,2005,Stage & Screen,,Score
Batman Begins,hans zimmer and james newton howard batman begins music from the motion picture,batman the animated series the legend begins,2012,2002,Stage & Screen,,Score
Batman Begins,hans zimmer and james newton howard batman begins,batman begins,2005,2005,"Electronic, Stage & Screen",,"Soundtrack, Modern Classical, Score"
Batman Begins,hans zimmer and james newton howard batman begins,batman the animated series the legend begins,2005,2002,"Electronic, Stage & Screen",,"Soundtrack, Modern Classical, Score"
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1989,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack"
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1990,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack"
Back to the Future Part II,alan silvestri back to the future,back to the future behind the scenes special presentation,1990,1989,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack"
Back to the Future Part II,alan silvestri back to the future,back to the future,2015,1989,Stage & Screen,,"Soundtrack, Score"
Back to the Future Part II,alan silvestri back to the future,back to the future,2015,1990,Stage & Screen,,"Soundtrack, Score"
Back to the Future Part II,alan silvestri back to the future,back to the future behind the scenes special presentation,2015,1989,Stage & Screen,,"Soundtrack, Score"
Back to the Future Part II,alan silvestri back to the future,back to the future,2015,1989,Stage & Screen,,"Soundtrack, Score"
Back to the Future Part II,alan silvestri back to the future,back to the future,2015,1990,Stage & Screen,,"Soundtrack, Score"
Back to the Future Part II,alan silvestri back to the future,back to the future behind the scenes special presentation,2015,1989,Stage & Screen,,"Soundtrack, Score"
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1989,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country"
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1990,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country"
Back to the Future Part II,alan silvestri back to the future,back to the future behind the scenes special presentation,1990,1989,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country"
Back to the Future Part II,alan silvestri back to the future trilogy,back to the future,2016,1989,Stage & Screen,,Score
Back to the Future Part II,alan silvestri back to the future trilogy,back to the future,2016,1990,Stage & Screen,,Score
Back to the Future Part II,alan silvestri back to the future trilogy,back to the future behind the scenes special presentation,2016,1989,Stage & Screen,,Score
Baby Driver,various baby driver,baby driver,2017,2017,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack
Baby Driver,various baby driver,baby driver,2017,,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack
Baby Driver,various baby driver,baby driver,2017,2017,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack
Baby Driver,various baby driver,baby driver,2017,,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack
Baby Driver,various baby driver,baby driver,2017,2017,"Rock, Stage & Screen",,"Soundtrack, Indie Rock"
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Rock, Stage & Screen",,"Soundtrack, Indie Rock"
Baby Driver,various baby driver,baby driver,2017,,"Rock, Stage & Screen",,"Soundtrack, Indie Rock"
Batman Returns,danny elfman batman returns,batman returns,2017,1992,Stage & Screen,,"Score, Soundtrack"
Batman Returns,danny elfman batman returns,batman the dark knight returns,2017,2013,Stage & Screen,,"Score, Soundtrack"
Batman Returns,danny elfman batman returns,batman the dark knight returns part,2017,2012,Stage & Screen,,"Score, Soundtrack"
Batman Returns,danny elfman batman returns,batman the dark knight returns part,2017,2013,Stage & Screen,,"Score, Soundtrack"
Batman Returns,danny elfman batman returns,batman returns,2017,1992,"Rock, Classical, Stage & Screen",,"Soundtrack, Score"
Batman Returns,danny elfman batman returns,batman the dark knight returns,2017,2013,"Rock, Classical, Stage & Screen",,"Soundtrack, Score"
Batman Returns,danny elfman batman returns,batman the dark knight returns part,2017,2012,"Rock, Classical, Stage & Screen",,"Soundtrack, Score"
Batman Returns,danny elfman batman returns,batman the dark knight returns part,2017,2013,"Rock, Classical, Stage & Screen",,"Soundtrack, Score"
Batman Returns,danny elfman batman returns,batman returns,2022,1992,Stage & Screen,,"Score, Soundtrack"
Batman Returns,danny elfman batman returns,batman the dark knight returns,2022,2013,Stage & Screen,,"Score, Soundtrack"
Batman Returns,danny elfman batman returns,batman the dark knight returns part,2022,2012,Stage & Screen,,"Score, Soundtrack"
Batman Returns,danny elfman batman returns,batman the dark knight returns part,2022,2013,Stage & Screen,,"Score, Soundtrack"
Batman Returns,danny elfman batman returns,batman returns,1992,1992,"Rock, Classical, Stage & Screen",,"Soundtrack, Score, Contemporary"
