tmdb_id,discogs_id,tmdb_title,discogs_title,tmdb_year,discogs_year,token_score,partial_score,hybrid_score,year_diff
,,akira production report,geinoh yamashirogumi akira,1988.0,1988.0,44.89795918367348,41.02564102564102,43.74,0.0
,,akira production report,geinoh yamashirogumi akira,1988.0,1988.0,44.89795918367348,41.02564102564102,43.74,0.0
,,akira project,geinoh yamashirogumi akira,2014.0,2014.0,41.02564102564102,55.55555555555556,45.38,0.0
,,akira kankan,geinoh yamashirogumi akira,1989.0,1988.0,42.10526315789473,58.82352941176471,47.12,1.0
,,akira kankan,geinoh yamashirogumi akira,1989.0,1988.0,42.10526315789473,58.82352941176471,47.12,1.0
,,akira kankan,geinoh yamashirogumi akira,1989.0,1990.0,42.10526315789473,58.82352941176471,47.12,1.0
,,in love with and living within movies akira kurosawa and hayao miyazaki,geinou yamashirogumi akira,1993.0,1994.0,35.051546391752574,50.0,39.54,1.0
,,aliens,james horner aliens,1986.0,1986.0,48.0,100.0,63.6,0.0
,,aliens,james horner aliens,1986.0,1986.0,48.0,100.0,63.6,0.0
,,aliens,james horner aliens,2016.0,2016.0,48.0,100.0,63.6,0.0
,,aliens,james horner aliens,2016.0,2015.0,48.0,100.0,63.6,1.0
,,aliens,james horner aliens,2014.0,2015.0,48.0,100.0,63.6,1.0
,,aliens,james horner aliens,2021.0,2021.0,48.0,100.0,63.6,0.0
,,aliens,james horner aliens,2017.0,2016.0,48.0,100.0,63.6,1.0
,,maybe aliens,james horner aliens,2017.0,2016.0,58.06451612903225,76.19047619047619,63.5,1.0
,,aliens gufors,james horner aliens,2017.0,2016.0,62.5,63.1578947368421,62.7,1.0
,,monsters vs aliens creature features,james horner aliens,2014.0,2015.0,54.54545454545454,64.86486486486487,57.64,1.0
,,alien,jerry goldsmith alien,1979.0,1979.0,38.46153846153846,100.0,56.92,0.0
,,alien,chrome alien soundtracks,,1977.0,34.48275862068966,100.0,54.14,
,,alien,chrome alien soundtracks,,1977.0,34.48275862068966,100.0,54.14,
,,alien,jerry goldsmith alien,,1979.0,38.46153846153846,100.0,56.92,
,,alien,jerry goldsmith alien,,2017.0,38.46153846153846,100.0,56.92,
,,alien,chrome alien soundtracks,,2007.0,34.48275862068966,100.0,54.14,
,,alien,jerry goldsmith alien,2017.0,2017.0,38.46153846153846,100.0,56.92,0.0
,,alien,jerry goldsmith alien,2017.0,2017.0,38.46153846153846,100.0,56.92,0.0
