movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style,score
Deadpool,various deadpool wolverine,deadpool wolverine,2024,2024,"Rock, Pop, Stage & Screen",,Soundtrack,95.0
Deadpool,various deadpool wolverine,marvel studios assembled the making of deadpool wolverine,2024,2024,"Rock, Pop, Stage & Screen",,Soundtrack,85.5
Deadpool,various deadpool reloaded,deadpool,2016,2016,Stage & Screen,,"Soundtrack, Score",90.0
Deadpool,various deadpool reloaded,deadpool,2016,2018,Stage & Screen,,"Soundtrack, Score",90.0
Deadpool,tom holkenborg aka junkie xl deadpool,deadpool,2016,2016,"Electronic, Stage & Screen",,"Electroclash, Soundtrack",90.0
Deadpool,tom holkenborg aka junkie xl deadpool,deadpool,2016,2018,"Electronic, Stage & Screen",,"Electroclash, Soundtrack",90.0
Deadpool,tom holkenborg aka junkie xl deadpool,deadpool,2016,2016,"Electronic, Stage & Screen",,"Electroclash, Soundtrack",90.0
Deadpool,tom holkenborg aka junkie xl deadpool,deadpool,2016,2018,"Electronic, Stage & Screen",,"Electroclash, Soundtrack",90.0
Deadpool,various deadpool wolverine,deadpool wolverine,2024,2024,"Rock, Pop, Stage & Screen",,Soundtrack,95.0
Deadpool,various deadpool wolverine,marvel studios assembled the making of deadpool wolverine,2024,2024,"Rock, Pop, Stage & Screen",,Soundtrack,85.5
Django Unchained,various django unchained,django unchained,2013,2012,"Hip Hop, Rock, Funk / Soul, Non-Music, Folk, World, & Country, Stage & Screen",,"Soundtrack, Gangsta, Folk Rock, Rhythm & Blues, Contemporary R&B, Speech",90.0
Django Unchained,various django unchained,django unchained reimagining the spaghetti western making of documentary,2013,2013,"Hip Hop, Rock, Funk / Soul, Non-Music, Folk, World, & Country, Stage & Screen",,"Soundtrack, Gangsta, Folk Rock, Rhythm & Blues, Contemporary R&B, Speech",85.5
Django Unchained,various django unchained,django unchained,2013,2012,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Django Unchained,various django unchained,django unchained reimagining the spaghetti western making of documentary,2013,2013,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,85.5
Django Unchained,various django unchained,django unchained,2013,2012,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Django Unchained,various django unchained,django unchained reimagining the spaghetti western making of documentary,2013,2013,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,85.5
Django Unchained,various django unchained,django unchained,2012,2012,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Django Unchained,various django unchained,django unchained reimagining the spaghetti western making of documentary,2012,2013,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,85.5
Django Unchained,various django unchained,django unchained,2013,2012,"Hip Hop, Rock, Funk / Soul, Non-Music, Folk, World, & Country, Stage & Screen",,"Soundtrack, Gangsta, Folk Rock, Rhythm & Blues, Contemporary R&B, Speech",90.0
Django Unchained,various django unchained,django unchained reimagining the spaghetti western making of documentary,2013,2013,"Hip Hop, Rock, Funk / Soul, Non-Music, Folk, World, & Country, Stage & Screen",,"Soundtrack, Gangsta, Folk Rock, Rhythm & Blues, Contemporary R&B, Speech",85.5
Django Unchained,various django unchained,django unchained,2013,2012,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Django Unchained,various django unchained,django unchained reimagining the spaghetti western making of documentary,2013,2013,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,85.5
Django Unchained,various django unchained,django unchained,2013,2012,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Django Unchained,various django unchained,django unchained reimagining the spaghetti western making of documentary,2013,2013,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,85.5
Django Unchained,various django unchained,django unchained,2012,2012,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Django Unchained,various django unchained,django unchained reimagining the spaghetti western making of documentary,2012,2013,"Hip Hop, Funk / Soul, Folk, World, & Country, Stage & Screen",,Soundtrack,85.5
Doctor Strange,michael giacchino doctor strange,doctor strange,2016,2016,Stage & Screen,,Score,90.0
Doctor Strange,michael giacchino doctor strange,doctor strange,2016,2016,Stage & Screen,,Score,90.0
Doctor Strange,danny elfman doctor strange in the multiverse of madness,doctor strange in the multiverse of madness,2022,2022,Stage & Screen,,"Soundtrack, Score",95.0
Doctor Strange,danny elfman doctor strange in the multiverse of madness,doctor strange in the multiverse of madness,2023,2022,Stage & Screen,,"Soundtrack, Score",95.0
Doctor Strange,michael giacchino doctor strange,doctor strange,2016,2016,Stage & Screen,,Score,90.0
Doctor Strange,michael giacchino doctor strange,doctor strange,2016,2016,Stage & Screen,,Score,90.0
Doctor Strange,danny elfman doctor strange in the multiverse of madness,doctor strange in the multiverse of madness,2022,2022,Stage & Screen,,"Soundtrack, Score",95.0
Doctor Strange,danny elfman doctor strange in the multiverse of madness,doctor strange in the multiverse of madness,2023,2022,Stage & Screen,,"Soundtrack, Score",95.0
Dunkirk,hans zimmer dunkirk,dunkirk,2017,2017,Stage & Screen,,Soundtrack,90.0
Dunkirk,hans zimmer dunkirk,dunkirk,2017,2017,Stage & Screen,,"Soundtrack, Score",90.0
Dunkirk,hans zimmer dunkirk,dunkirk,2017,2017,Stage & Screen,,"Soundtrack, Score",90.0
Dunkirk,hans zimmer dunkirk,dunkirk,2017,2017,Stage & Screen,,Soundtrack,90.0
Dunkirk,hans zimmer dunkirk,dunkirk,2017,2017,Stage & Screen,,Soundtrack,90.0
Dunkirk,hans zimmer dunkirk,dunkirk,2017,2017,Stage & Screen,,"Soundtrack, Score",90.0
Dunkirk,hans zimmer dunkirk,dunkirk,2017,2017,Stage & Screen,,"Soundtrack, Score",90.0
Dunkirk,hans zimmer dunkirk,dunkirk,2017,2017,Stage & Screen,,Soundtrack,90.0
E.T. the Extra-Terrestrial,drew barrymore the extra terrestrial,extra terrestrial,1983,1982,"Children's, Stage & Screen",,Story,90.0
E.T. the Extra-Terrestrial,drew barrymore the extra terrestrial,extra terrestrial,1983,1982,"Children's, Stage & Screen",,Story,90.0
Edward Scissorhands,danny elfman edward scissorhands,edward scissorhands matthew bourne dance version,2023,2024,Stage & Screen,,"Score, Contemporary, Soundtrack",85.5
Edward Scissorhands,danny elfman edward scissorhands,edward scissorhands matthew bourne dance version,2023,2024,Stage & Screen,,"Score, Contemporary, Soundtrack",85.5
Edward Scissorhands,danny elfman edward scissorhands,edward scissorhands matthew bourne dance version,2023,2024,Stage & Screen,,"Score, Contemporary, Soundtrack",85.5
Edward Scissorhands,danny elfman edward scissorhands,edward scissorhands matthew bourne dance version,2023,2024,Stage & Screen,,"Score, Contemporary, Soundtrack",85.5
Encanto,various encanto,encanto,2022,2021,"Pop, Children's, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Children's, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Folk, World, & Country, Stage & Screen",,Soundtrack,90.0
Encanto,various encanto,encanto,2022,2021,"Pop, Stage & Screen",,Soundtrack,90.0
Fantastic Mr. Fox,various fantastic mr fox,fantastic mr fox,2009,2009,"Jazz, Rock, Classical, Folk, World, & Country, Stage & Screen",,"Alternative Rock, Rock & Roll, Pop Rock, Soundtrack, Score, Folk, Classic Rock",90.0
Fantastic Mr. Fox,various fantastic mr fox,fantastic mr fox,2009,2009,"Jazz, Rock, Classical, Folk, World, & Country, Stage & Screen",,"Alternative Rock, Rock & Roll, Pop Rock, Soundtrack, Score, Folk, Classic Rock",90.0
Fantastic Mr. Fox,various fantastic mr fox,fantastic mr fox,2009,2009,"Jazz, Rock, Classical, Folk, World, & Country, Stage & Screen",,"Alternative Rock, Rock & Roll, Pop Rock, Soundtrack, Score, Folk, Classic Rock",90.0
Fantastic Mr. Fox,various fantastic mr fox,fantastic mr fox,2009,2009,"Jazz, Rock, Classical, Folk, World, & Country, Stage & Screen",,"Alternative Rock, Rock & Roll, Pop Rock, Soundtrack, Score, Folk, Classic Rock",90.0
Fight Club,dust brothers fight club,gcw fight club,2020,2021,"Electronic, Stage & Screen",,"Trip Hop, Score",85.5
Fight Club,dust brothers fight club,fight club but with tennis and no fight,2020,2019,"Electronic, Stage & Screen",,"Trip Hop, Score",85.5
Fight Club,dust brothers fight club,gcw fight club,2020,2021,"Electronic, Stage & Screen",,"Trip Hop, Score",85.5
Fight Club,dust brothers fight club,fight club but with tennis and no fight,2020,2019,"Electronic, Stage & Screen",,"Trip Hop, Score",85.5
